division_code,division_name,district_code,district_name,upazila_code,upazila_name,union_code,union_name
50,Rajshahi,5010,Bogra ,501094,Shibganj ,50109409,Ward No-09
50,Rajshahi,5010,Bogra ,501095,Sonatola ,50109501,Ward No-01
50,Rajshahi,5010,Bogra ,501095,Sonatola ,50109502,Ward No-02
50,Rajshahi,5010,Bogra ,501095,Sonatola ,50109503,Ward No-03
50,Rajshahi,5010,Bogra ,501095,Sonatola ,50109504,Ward No-04
50,Rajshahi,5010,Bogra ,501095,Sonatola ,50109505,Ward No-05
50,Rajshahi,5010,Bogra ,501095,Sonatola ,50109506,Ward No-06
50,Rajshahi,5010,Bogra ,501095,Sonatola ,50109507,Ward No-07
50,Rajshahi,5010,Bogra ,501095,Sonatola ,50109508,Ward No-08
50,Rajshahi,5010,Bogra ,501095,Sonatola ,50109509,Ward No-09
20,Chittagong,2012,Brahmanbaria ,201202,Akhaura ,20120201,Ward No-01
20,Chittagong,2012,Brahmanbaria ,201202,Akhaura ,20120202,Ward No-02
20,Chittagong,2012,Brahmanbaria ,201202,Akhaura ,20120203,Ward No-03
20,Chittagong,2012,Brahmanbaria ,201202,Akhaura ,20120204,Ward No-04
20,Chittagong,2012,Brahmanbaria ,201202,Akhaura ,20120205,Ward No-05
20,Chittagong,2012,Brahmanbaria ,201202,Akhaura ,20120206,Ward No-06
20,Chittagong,2012,Brahmanbaria ,201202,Akhaura ,20120207,Ward No-07
20,Chittagong,2012,Brahmanbaria ,201202,Akhaura ,20120208,Ward No-08
20,Chittagong,2012,Brahmanbaria ,201202,Akhaura ,20120209,Ward No-09
20,Chittagong,2012,Brahmanbaria ,201213,Brahmanbaria Sadar ,20121301,Ward No-01
20,Chittagong,2012,Brahmanbaria ,201213,Brahmanbaria Sadar ,20121302,Ward No-02
20,Chittagong,2012,Brahmanbaria ,201213,Brahmanbaria Sadar ,20121303,Ward No-03
20,Chittagong,2012,Brahmanbaria ,201213,Brahmanbaria Sadar ,20121304,Ward No-04
20,Chittagong,2012,Brahmanbaria ,201213,Brahmanbaria Sadar ,20121305,Ward No-05
20,Chittagong,2012,Brahmanbaria ,201213,Brahmanbaria Sadar ,20121306,Ward No-06
20,Chittagong,2012,Brahmanbaria ,201213,Brahmanbaria Sadar ,20121307,Ward No-07
20,Chittagong,2012,Brahmanbaria ,201213,Brahmanbaria Sadar ,20121308,Ward No-08
20,Chittagong,2012,Brahmanbaria ,201213,Brahmanbaria Sadar ,20121309,Ward No-09
20,Chittagong,2012,Brahmanbaria ,201213,Brahmanbaria Sadar ,20121310,Ward No-10
20,Chittagong,2012,Brahmanbaria ,201213,Brahmanbaria Sadar ,20121311,Ward No-11
20,Chittagong,2012,Brahmanbaria ,201213,Brahmanbaria Sadar ,20121312,Ward No-12
20,Chittagong,2012,Brahmanbaria ,201263,Kasba ,20126301,Ward No-01
20,Chittagong,2012,Brahmanbaria ,201263,Kasba ,20126302,Ward No-02
20,Chittagong,2012,Brahmanbaria ,201263,Kasba ,20126303,Ward No-03
20,Chittagong,2012,Brahmanbaria ,201263,Kasba ,20126304,Ward No-04
20,Chittagong,2012,Brahmanbaria ,201263,Kasba ,20126305,Ward No-05
20,Chittagong,2012,Brahmanbaria ,201263,Kasba ,20126306,Ward No-06
20,Chittagong,2012,Brahmanbaria ,201263,Kasba ,20126307,Ward No-07
20,Chittagong,2012,Brahmanbaria ,201263,Kasba ,20126308,Ward No-08
20,Chittagong,2012,Brahmanbaria ,201263,Kasba ,20126309,Ward No-09
20,Chittagong,2012,Brahmanbaria ,201285,Nabinagar ,20128501,Ward No-01
20,Chittagong,2012,Brahmanbaria ,201285,Nabinagar ,20128502,Ward No-02
20,Chittagong,2012,Brahmanbaria ,201285,Nabinagar ,20128503,Ward No-03
20,Chittagong,2012,Brahmanbaria ,201285,Nabinagar ,20128504,Ward No-04
20,Chittagong,2012,Brahmanbaria ,201285,Nabinagar ,20128505,Ward No-05
